ts,x,y,z
2025-09-28T04:52:56.537000Z,-0.549,0.671,-0.366
2025-09-28T04:52:56.866000Z,-1.038,-0.366,-0.916
2025-09-28T04:52:57.220000Z,0.732,0.854,-0.183
2025-09-28T04:52:57.546000Z,-0.183,0.916,-0.549
2025-09-28T04:52:57.875000Z,1.221,1.404,-0.488
2025-09-28T04:52:58.335000Z,-0.854,0.732,-0.244
2025-09-28T04:52:58.656000Z,-0.916,0.549,-0.549
2025-09-28T04:52:59.033000Z,-0.305,0.61,-0.488
2025-09-28T04:52:59.445000Z,0.0,-0.671,0.916
2025-09-28T04:52:59.753000Z,-0.183,0.61,-0.671
2025-09-28T04:53:00.121000Z,-0.305,0.427,-0.488
2025-09-28T04:53:00.470000Z,0.549,1.404,-0.122
2025-09-28T04:53:01.078000Z,-0.305,0.549,-0.427
2025-09-28T04:53:01.495000Z,-0.305,0.244,0.366
2025-09-28T04:53:02.309000Z,0.122,1.465,-0.366
2025-09-28T04:53:02.729000Z,0.671,0.854,-0.488
2025-09-28T04:53:03.125000Z,-1.587,1.038,-0.305
2025-09-28T04:53:03.543000Z,-0.61,0.732,-0.366
2025-09-28T04:53:03.974000Z,-0.61,0.427,-0.549
2025-09-28T04:53:05.058000Z,-0.488,0.366,-0.427
2025-09-28T04:53:05.392000Z,-0.854,0.854,-0.366
2025-09-28T04:53:05.703000Z,0.061,0.916,-0.427
2025-09-28T04:53:06.052000Z,-0.122,0.916,-0.366
2025-09-28T04:53:07.017000Z,-0.183,0.732,-0.427
2025-09-28T04:53:07.380000Z,-0.61,0.732,-0.427
2025-09-28T04:53:08.049000Z,-0.488,1.526,-0.183
2025-09-28T04:53:08.412000Z,0.0,1.221,-0.366
2025-09-28T04:53:08.896000Z,-0.366,1.221,-0.488
2025-09-28T04:53:09.539000Z,-0.916,0.549,-0.427
2025-09-28T04:53:10.091000Z,0.0,0.488,-0.427
2025-09-28T04:53:10.419000Z,-0.916,1.16,-0.366
2025-09-28T04:53:10.918000Z,1.465,0.916,-0.305
2025-09-28T04:53:11.324000Z,-0.183,0.854,-0.427
