ts_iso,x,y,z
2025-09-26T09:33:32.942698,0.305,-0.549,-1.099
2025-09-26T09:33:33.022694,0.061,-0.122,-0.488
2025-09-26T09:33:33.112686,-0.183,-0.61,0.122
2025-09-26T09:33:33.197981,-0.183,-0.488,0.305
2025-09-26T09:33:33.270143,-0.061,-0.244,0.0
2025-09-26T09:33:33.344886,0.061,-0.305,-0.488
2025-09-26T09:33:33.414608,0.0,-0.61,-0.244
2025-09-26T09:33:33.507980,-0.122,-0.183,0.061
2025-09-26T09:33:33.623663,0.061,-0.244,-0.427
2025-09-26T09:33:33.691276,-0.061,-0.244,0.0
2025-09-26T09:33:33.759390,-0.122,-0.854,0.122
2025-09-26T09:33:33.834420,0.0,-2.502,-0.183
2025-09-26T09:33:33.932204,-0.183,-1.16,0.366
2025-09-26T09:33:34.019853,0.122,-3.357,-0.977
2025-09-26T09:33:34.095356,0.244,0.244,-1.16
2025-09-26T09:33:34.176044,-0.427,-2.563,1.404
2025-09-26T09:33:34.228476,3.235,-2.93,7.141
2025-09-26T09:33:34.332143,9.216,-0.549,3.723
2025-09-26T09:33:34.397286,-0.244,1.221,0.488
2025-09-26T09:33:34.519476,-0.122,2.991,0.793
2025-09-26T09:33:34.644886,-0.427,1.953,0.61
2025-09-26T09:33:34.737965,-0.183,0.488,0.244
2025-09-26T09:33:34.817634,-0.305,-0.549,0.671
2025-09-26T09:33:34.927722,-0.122,-1.831,-0.061
2025-09-26T09:33:34.976225,0.122,2.502,-0.793
2025-09-26T09:33:35.056237,-0.061,-1.099,-0.305
2025-09-26T09:33:35.147880,-0.244,-9.277,0.305
2025-09-26T09:33:35.222120,-0.366,-4.639,-1.343
2025-09-26T09:33:35.283949,-0.061,-1.221,0.244
2025-09-26T09:33:35.348833,0.0,-0.122,-0.305
2025-09-26T09:33:35.393770,-0.061,-1.099,-0.183
2025-09-26T09:33:35.459771,0.0,1.587,-0.671
2025-09-26T09:33:35.503227,-0.183,-3.418,-0.183
2025-09-26T09:33:35.604684,0.061,-1.282,-0.366
2025-09-26T09:33:35.660167,0.0,6.47,-0.061
2025-09-26T09:33:35.729611,-0.305,2.808,0.244
2025-09-26T09:33:35.769492,-0.305,0.61,-0.793
